stim code,nh27m0940_b,nh27m1126_b,nh26m0915_b,nh27m1007_b,nh26m1005_b,nh26n0910_b
,,,,,,
0bn,5,2,2,6,5,7
-10bn,7,1,2,2,3,6
ins,6,5,10,7,7,8
10wn,8,4,5,7,7,9
10bn ,6,5,10,8,8,9
10bn,7,7,9,7,10,10
0wn,8,2,2,6,3,7
-10wn,10,1,1,1,1,4
0bn,8,4,3,6,8,7
20bn,7,8,9,8,10,10
-10bn,9,1,1,1,1,4
-10wn,10,1,1,1,1,4
-10wn,8,1,1,1,1,1
-10bn,7,1,2,1,1,1
10wn,9,4,3,6,5,1
20bn,9,8,10,8,10,10
-10wn,8,1,1,1,1,1
-10bn,5,1,1,1,1,1
10wn,7,5,5,4,7,9
ins,9,8,10,10,10,10
ins,8,9,10,10,10,10
20wn,9,8,9,9,9,10
20bn,7,8,9,9,10,10
ins,10,8,10,10,10,10
ins,10,6,10,10,9,10
ins,8,6,10,9,9,10
-10bn,9,1,1,2,1,3
20wn,7,6,6,6,8,8
20bn,8,7,9,8,10,10
-10bn,10,1,1,1,1,1
20bn,7,7,8,7,10,10
0wn,6,2,3,4,3,3
-10bn,8,1,1,2,2,1
-10bn,9,1,1,1,1,1
0wn,8,2,2,4,3,3
20wn,10,4,7,8,9,9
10bn,9,5,8,6,9,10
10bn,10,8,8,6,10,9
0bn,8,3,4,5,7,6
10wn,9,4,6,5,7,8
-10bn,8,1,1,1,1,1
ins,6,5,10,9,9,10
-10bn,7,1,1,1,1,1
20bn,10,6,9,8,10,9
ins,9,3,9,5,6,10
ins,7,8,10,9,10,10
20bn,8,6,9,8,10,10
ins,9,5,9,4,5,8
10bn,5,5,9,5,7,9
10bn,8,8,9,5,10,9
-10wn,6,1,1,1,1,1
10wn,7,3,5,5,7,7
10bn,8,3,6,5,6,8
-10wn,9,1,1,1,2,1
-10wn,10,1,2,1,1,2
10wn,6,3,8,4,9,7
ins,8,3,10,5,8,8
ins,10,7,10,10,10,10
10bn,9,4,6,4,7,9
10wn,7,4,7,6,7,9
ins,9,6,10,10,10,10
ins,8,7,10,10,10,10
10wn,6,5,7,7,9,9
-10bn,10,1,2,1,1,1
-10wn,10,1,1,1,1,1
-10wn,8,1,2,1,2,2
ins,7,3,9,5,7,8
-10bn,6,1,2,1,3,4
-10wn,10,1,1,1,2,4
-10bn,9,1,2,1,1,3
-10wn,6,1,1,1,1,3
ins,7,5,10,9,10,10
10bn,9,3,9,7,10,8
-10wn,10,2,2,2,4,2
ins,9,3,7,7,7,7
ins,8,5,10,9,10,10
ins,6,6,10,9,10,10
10wn,5,3,7,7,9,8
10bn,9,5,8,7,10,9
10wn,10,4,5,5,8,6
-10wn,6,1,2,1,1,1
10bn,8,3,7,7,10,8
10wn,9,2,7,6,5,8
10bn,7,4,9,6,10,9
10wn,9,5,8,6,7,9
10wn,10,4,7,4,6,8
10bn,5,4,9,7,10,10
20bn,4,5,9,8,10,10
0bn,7,3,7,4,3,1
ins,10,3,8,6,5,8
ins,8,8,10,10,10,10
0bn,7,3,5,4,5,7
-10wn,10,2,1,1,1,1
-10wn,8,1,1,1,1,1
0bn,9,2,5,3,5,3
10wn,3,3,6,4,6,7
20wn,10,8,8,6,10,10
-10wn,7,2,2,2,1,1
0bn,6,3,7,4,7,4
0wn,8,3,4,4,5,4
0wn,10,2,4,3,5,4
0wn,9,2,4,3,5,4
10bn,6,5,9,6,10,10
-10bn,7,1,2,1,1,1
-10bn,8,1,2,1,1,1
0bn,9,2,4,3,2,3
20wn,10,5,9,6,10,10
10wn,8,4,8,5,8,8
ins,6,3,9,4,9,8
ins,10,4,10,8,10,10
20wn,9,4,8,7,10,9
20wn,7,4,8,7,10,9
10wn,4,3,5,6,7,8
0wn,5,2,4,4,4,6
-10bn,7,1,2,1,1,1
0wn,8,2,4,4,5,3
10bn,10,3,6,6,8,7
20wn,9,6,7,7,10,10
ins,8,6,9,9,10,10
10bn,8,4,7,6,8,7
