stim code,nh24f1130,nh20m1030,nh21m1043,nh23f1334,nh24m1145,nh21m1446,nh23m1028,nh21m1128,nh23f1237,nh24f1115_s,nh22f1221_s,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0bn,6,6,4,8,6,4,4,4,3,7,6,,,,,,,,,,,,,,
-10bn,4,2,3,6,3,3,2,5,2,5,4,,,,,,,,,,,,,,
ins,10,10,5,10,10,8,9,7,4,10,9,,,,,,,,,,,,,,
10wn,9,8,5,8,7,5,6,4,4,9,7,,,,,,,,,,,,,,
10bn ,8,6,4,10,7,6,4,5,5,8,8,,,,,,,,,,,,,,
10bn,9,7,6,10,8,7,10,6,6,8,8,,,,,,,,,,,,,,
0wn,5,4,2,6,5,3,3,2,2,3,6,,,,,,,,,,,,,,
-10wn,2,2,1,3,1,2,2,1,1,2,4,,,,,,,,,,,,,,
0bn,5,7,5,7,3,5,5,5,4,7,6,,,,,,,,,,,,,,
20bn,10,9,7,10,7,8,9,8,9,9,9,,,,,,,,,,,,,,
-10bn,1,2,1,1,1,1,2,1,2,1,2,,,,,,,,,,,,,,
-10wn,1,3,1,2,2,2,1,1,1,2,2,,,,,,,,,,,,,,
-10wn,1,2,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,
-10bn,2,3,2,3,3,2,2,1,2,2,3,,,,,,,,,,,,,,
10wn,4,8,4,5,8,5,4,3,3,6,6,,,,,,,,,,,,,,
20bn,10,9,7,10,10,9,9,8,7,9,9,,,,,,,,,,,,,,
-10wn,3,3,1,2,2,4,3,1,1,2,2,,,,,,,,,,,,,,
-10bn,1,2,1,4,6,2,1,1,1,1,1,,,,,,,,,,,,,,
10wn,9,8,6,8,8,6,5,6,5,7,7,,,,,,,,,,,,,,
ins,8,10,9,10,10,6,10,4,9,9,10,,,,,,,,,,,,,,
ins,10,10,8,10,10,10,10,10,9,10,10,,,,,,,,,,,,,,
20wn,9,9,6,8,9,8,7,5,5,8,9,,,,,,,,,,,,,,
20bn,9,8,6,10,7,8,6,6,6,8,9,,,,,,,,,,,,,,
ins,10,10,7,10,10,9,10,8,8,10,10,,,,,,,,,,,,,,
ins,8,10,5,10,10,10,10,7,9,9,10,,,,,,,,,,,,,,
ins,10,10,5,10,8,10,9,7,9,10,9,,,,,,,,,,,,,,
-10bn,4,2,2,4,3,2,2,1,2,4,2,,,,,,,,,,,,,,
20wn,8,8,6,9,5,6,7,5,4,8,9,,,,,,,,,,,,,,
20bn,8,9,7,10,7,7,5,5,6,8,9,,,,,,,,,,,,,,
-10bn,1,1,1,7,1,1,1,1,1,1,1,,,,,,,,,,,,,,
20bn,9,9,7,10,6,8,9,6,8,8,9,,,,,,,,,,,,,,
0wn,3,7,3,5,2,4,4,8,5,3,8,,,,,,,,,,,,,,
-10bn,2,3,1,2,1,3,3,2,3,1,4,,,,,,,,,,,,,,
-10bn,1,2,1,5,1,2,1,1,2,1,2,,,,,,,,,,,,,,
0wn,2,7,3,5,3,3,3,2,1,2,5,,,,,,,,,,,,,,
20wn,7,9,4,9,6,5,7,5,4,4,8,,,,,,,,,,,,,,
10bn,7,8,5,10,5,7,6,5,6,7,9,,,,,,,,,,,,,,
10bn,9,8,6,10,7,8,6,6,7,8,9,,,,,,,,,,,,,,
0bn,5,6,2,7,6,6,4,3,4,5,8,,,,,,,,,,,,,,
10wn,8,7,3,8,3,7,4,3,5,5,9,,,,,,,,,,,,,,
-10bn,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
ins,10,10,8,10,7,10,10,3,6,10,10,,,,,,,,,,,,,,
-10bn,2,2,2,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,
20bn,7,9,6,10,4,9,7,3,5,7,9,,,,,,,,,,,,,,
ins,9,10,4,10,9,8,9,3,3,8,9,,,,,,,,,,,,,,
ins,10,10,9,10,10,10,10,8,10,10,10,,,,,,,,,,,,,,
20bn,7,9,6,9,8,8,7,7,8,7,9,,,,,,,,,,,,,,
ins,8,10,4,10,5,8,8,4,5,8,9,,,,,,,,,,,,,,
10bn,7,8,5,8,5,7,7,3,4,6,9,,,,,,,,,,,,,,
10bn,7,8,7,8,5,8,6,6,6,6,9,,,,,,,,,,,,,,
-10wn,1,2,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,
10wn,4,8,5,8,6,3,5,5,3,4,8,,,,,,,,,,,,,,
10bn,7,9,6,10,4,5,5,4,4,5,9,,,,,,,,,,,,,,
